PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	LAWLER, JE; COX, RH; BARKER, GF; HUBBARD, JW; SANDERS, BJ								CARDIOVASCULAR, PLASMA-CATECHOLAMINE, AND CORTICOSTERONE RESPONSES TO ALTERATIONS IN THE PREDICTABILITY OF ELECTRIC-SHOCK IN THE RAT								PHYSIOLOGICAL PSYCHOLOGY				12	3			227	232					1984	1984										2							WOS:A1984TZ37500010		
J	WHITE, NM; LEGREE, P								EFFECT OF POST-TRAINING EXPOSURE TO AN AVERSIVE STIMULUS ON RETENTION								PHYSIOLOGICAL PSYCHOLOGY				12	3			233	236					1984	1984										11							WOS:A1984TZ37500011		
J	GAITO, J								LACK OF INTERHEMISPHERIC-TRANSFER OF THE 1-HZ SUPPRESSION EFFECT IN RATS								PHYSIOLOGICAL PSYCHOLOGY				12	3			237	241					1984	1984										0							WOS:A1984TZ37500012		
J	GRUPP, LA; STEWART, RB; PERLANSKI, E								SALT RESTRICTION AND THE VOLUNTARY INTAKE OF ETHANOL IN RATS								PHYSIOLOGICAL PSYCHOLOGY				12	3			242	246					1984	1984										27							WOS:A1984TZ37500013		
J	FRITH, CD; STEVENS, M; JOHNSTONE, EC; OWENS, DGC								THE EFFECTS OF CHRONIC TREATMENT WITH AMITRIPTYLINE AND DIAZEPAM ON ELECTRODERMAL ACTIVITY IN NEUROTIC OUTPATIENTS								PHYSIOLOGICAL PSYCHOLOGY				12	3			247	252					1984	1984										5							WOS:A1984TZ37500014		
J	LORIG, TS; ISAAC, W								QUANTIFICATION OF CORTICAL AROUSAL - CORRELATION WITH LOCOMOTOR-ACTIVITY								PHYSIOLOGICAL PSYCHOLOGY				12	3			253	256					1984	1984										7							WOS:A1984TZ37500015		
J	HOREL, JA								COLD LESIONS IN INFEROTEMPORAL CORTEX PRODUCE REVERSIBLE DEFICITS IN LEARNING AND RETENTION OF VISUAL DISCRIMINATIONS								PHYSIOLOGICAL PSYCHOLOGY				12	4			259	270					1984	1984										45							WOS:A1984AEY8900001		
J	DIVAC, I; MOGENSEN, J; BLANCHARD, RJ; BLANCHARD, DC								MESIAL CORTICAL-LESIONS AND FEAR BEHAVIOR IN THE WILD RAT								PHYSIOLOGICAL PSYCHOLOGY				12	4			271	274					1984	1984										10							WOS:A1984AEY8900002		
J	LEVERE, TE; LEVERE, ND; CHAPPELL, ET; HANKEY, P								RECOVERY OF FUNCTION AFTER BRAIN-DAMAGE - ON WITHDRAWALS FROM THE MEMORY BANK								PHYSIOLOGICAL PSYCHOLOGY				12	4			275	279					1984	1984										2							WOS:A1984AEY8900003		
J	THORN, BE; PLOTKIN, KE								NEUROCHEMICAL MECHANISMS OF STIMULATION-PRODUCED ANALGESIA - COMPARISON OF TESTS INVOLVING TONIC AND PHASIC PAIN								PHYSIOLOGICAL PSYCHOLOGY				12	4			280	284					1984	1984										3							WOS:A1984AEY8900004		
J	THOMAS, AJ								STIMULATION-PRODUCED ANALGESIA AND SUPPRESSION OF BEHAVIOR IN THE RAT								PHYSIOLOGICAL PSYCHOLOGY				12	4			285	292					1984	1984										3							WOS:A1984AEY8900005		
J	RANDICH, A; SIMPSON, TA; HANGER, PA; FISHER, RL								ACTIVATION OF VAGAL AFFERENTS BY VERATRINE INDUCES ANTINOCICEPTION								PHYSIOLOGICAL PSYCHOLOGY				12	4			293	301					1984	1984										17							WOS:A1984AEY8900006		
J	PORTER, JH; GOLDSMITH, PA; MCDONOUGH, JJ; HEATH, GF; JOHNSON, DN								DIFFERENTIAL-EFFECTS OF DOPAMINE BLOCKERS ON THE ACQUISITION OF SCHEDULE-INDUCED DRINKING AND DEPRIVATION-INDUCED DRINKING								PHYSIOLOGICAL PSYCHOLOGY				12	4			302	306					1984	1984										15							WOS:A1984AEY8900007		
J	WELLMAN, PJ								INFLUENCE OF DL-PHENYLPROPANOLAMINE ON BROWN ADIPOSE-TISSUE THERMOGENESIS IN THE ADULT-RAT								PHYSIOLOGICAL PSYCHOLOGY				12	4			307	310					1984	1984										11							WOS:A1984AEY8900008		
J	UGURUOKORIE, DC								FEEDING-BEHAVIOR AND SENSORIMOTOR FUNCTIONING IN RATS WITH UNILATERAL MEDIAL FOREBRAIN-BUNDLE DAMAGE								PHYSIOLOGICAL PSYCHOLOGY				12	4			311	314					1984	1984										4							WOS:A1984AEY8900009		
J	BARRY, RJ								TRIALS EFFECTS IN THE EVOKED CARDIAC RESPONSE UNDER PROCESSING LOAD								PHYSIOLOGICAL PSYCHOLOGY				12	4			315	318					1984	1984										15							WOS:A1984AEY8900010		
J	MILLER, RR; KASPROW, WJ; SCHACHTMAN, TR								ECS-INDUCED RETROGRADE-AMNESIA IS NOT DUE TO INCREASED SENSITIVITY TO SOURCES OF ORDINARY FORGETTING								PHYSIOLOGICAL PSYCHOLOGY				12	4			319	330					1984	1984										1							WOS:A1984AEY8900011		
J	MARUSZEWSKI, T								MATRIX CONCEPTS, HIERARCHICAL CONCEPTS, IDEAL TYPES								POLISH PSYCHOLOGICAL BULLETIN				15	1			3	12					1984	1984										2							WOS:A1984ABX7400001		
J	CHLEWINSKI, Z								CONCEPT-IDENTIFICATION IN CONDITIONS OF TASK REPETITION								POLISH PSYCHOLOGICAL BULLETIN				15	1			13	22					1984	1984										0							WOS:A1984ABX7400002		
J	ZABIELSKI, S								ATTRIBUTES AND RULES IN CONCEPT-IDENTIFICATION - A DEVELOPMENTAL-STUDY								POLISH PSYCHOLOGICAL BULLETIN				15	1			23	29					1984	1984										0							WOS:A1984ABX7400003		
J	NOSAL, CS								COGNITIVE STYLES AND PROBABILISTIC THINKING INDEXES								POLISH PSYCHOLOGICAL BULLETIN				15	1			31	40					1984	1984										1							WOS:A1984ABX7400004		
J	NECKA, E								THE EFFECTIVENESS OF SYNECTICS AND BRAINSTORMING AS CONDITIONED BY SOCIO-EMOTIONAL CLIMATE AND TYPE OF TASK								POLISH PSYCHOLOGICAL BULLETIN				15	1			41	50					1984	1984										0							WOS:A1984ABX7400005		
J	CHWEDOROWICZ, J								FUZZY BELIEFS								POLISH PSYCHOLOGICAL BULLETIN				15	1			51	57					1984	1984										0							WOS:A1984ABX7400006		
J	FALKOWSKI, A								MULTITHRESHOLD DECISION-PROCESSES IN THE THEORY OF SIGNAL DETECTABILITY - EXPERIMENTS ON ACOUSTIC PERCEPTION								POLISH PSYCHOLOGICAL BULLETIN				15	1			59	69					1984	1984										1							WOS:A1984ABX7400007		
J	MANKOWSKA, M								THE USE OF COGNITIVE TRANSFORMATIONS IN THE STUDY OF MULTIDIMENSIONAL SIMILARITY JUDGMENTS								POLISH PSYCHOLOGICAL BULLETIN				15	1			71	79					1984	1984										0							WOS:A1984ABX7400008		
J	MAREK, T; NOWOROL, C								THE EFFECT OF PROBABILISTIC SET ON EFFICIENCY OF INFORMATION-PROCESSING								POLISH PSYCHOLOGICAL BULLETIN				15	1			81	84					1984	1984										0							WOS:A1984ABX7400009		
