"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"1","rebel vs obedient liking effect","Monin et al. (2008) Study 4",67,"r",0.35,0.22,75,"r","0.16","0.22","Holubar & Frank (2015)","no signal - consistent",NA,NA,"very close","RPP #1",NA,NA,NA,NA,NA,"http://www.ask-force.org/web/Discourse/Monin-Rejection-Moral-Rebels-2008.pdf","10.1037/0022-3514.95.1.76","https://osf.io/a4fmg/","https://osf.io/pz0my/","https://osf.io/pz0my/",NA,NA,NA,NA,NA,"social",2008,NA,"Decreased liking for rebels compared to obedient confederates (in non-self-affirmed control condition) eliminated in self-affirmed condition","ANOVA, omnibus","main effect","F(2, 64) = 10.17","<.01",NA,"The rejection of moral rebels: Resenting those who do the right thing.","η²(N=67) = .241","η²(N=75) = .052","unsuccessful",43,1,1,NA,"yes",1,82,37.78,1.50582089552239,3.778,8.2,0.150582089552239,0.22,22.1958,2.21958,0.590547718611101,0.01
"2","implicit-explicit correspondence effect","Payne et al. (2008) Study 4",70,"r",0.35,0.22,180,"r","0.15","0.14","Vianello (2015)","signal - inconsistent, smaller",NA,NA,"very close","RPP #2",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/0b28/0b8e08cd35cce13fc6cca1a25dc2b9a7e696.pdf","10.1037/0022-3514.94.1.16","https://osf.io/79y8g/","https://osf.io/rc6mv/","https://osf.io/rc6mv/",NA,NA,NA,NA,NA,"social",2008,NA,"Positive relation between indirect ratings (AMP) and direct ratings (of Black vs. White faces) stronger in low (compared to high) pressure to respond in socially desirable manner conditions.","hierarchical multiple linear regression","correlation","t(67) = 3.08","<.01",NA,"Why do implicit and explicit attitude tests diverge? The role of structural fit.","R²(N=70) = .09","R²(N=180) = .016","successful",44,2,2,NA,"yes",2,124,1.75,1.78392857142857,0.175,12.4,0.178392857142857,0.22,27.4725,2.74725,0.59590762652345,0.01
"3","young acquiescent variability effect","Soto, John et al. (2008) Study 1",230047,"r",0.02,0,455326,"r","0.02","0","Soderberg (2015)","signal - consistent",NA,NA,"very close","RPP #3",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/0f4f/d4199114ba21c832edc1800d92fd5c5f4034.pdf","10.1037/0022-3514.94.4.718","https://osf.io/6zdct/","https://osf.io/kez47/","https://osf.io/kez47/",NA,NA,NA,NA,NA,"social",2008,NA,"Younger respondents show greater variability (variance) in acquiescent response tendencies than older respondents.","Levene's test for equality of variance","main effect","F(21, 230025) = 118.15","<.001",NA,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.","F(21, 230025)(N=230047) = 118.15","F(21, 455304)(N=455326) = 261.93","successful",46,3,3,NA,"yes",3,127,4,0.000560754976157046,0.4,12.7,5.60754976157046e-05,0,0,0,0.208375516062211,0.001
"4","anxious attachment mortality effect","Cox, Arndt et al. (2008) Study 6",100,"r",0.23,0.19,200,"r","-0.05","0.14","Wissink, Zeelenberg et al. (2015)","no signal - inconsistent",NA,NA,"very close","RPP #4",NA,NA,NA,NA,NA,NA,NA,"https://osf.io/uhnd2/","https://osf.io/5tbxf/","https://osf.io/5tbxf/",NA,NA,NA,NA,NA,"social",2008,NA,"Increased relative preference for parent among mortality-salience induced Ps scoring low on avoidance but high on anxiety compared to control conditions (dental pain)","independent samples t-test","main effect","t(92)= -2.22","0.03",NA,"Terror management and adults' attachment to their parents: The safe haven remains.","f²(N=100) = .289","f²(N=200) = .05","unsuccessful",48,4,4,NA,"yes",4,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,0.03
"5","action priming boosts cognitive performance","Albarracin  et al. (2008) Study 5",36,"r",0.38,0.3,88,"r","-0.03","0.21","Kim, Frank et al. (2015)","no signal - inconsistent",NA,NA,"very close","RPP #5",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/dac5/23772e965444540d31e0fb743464fbb56b0e.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183","10.1037/a0012833","https://osf.io/2pbaf/","https://osf.io/vy1bc/","https://osf.io/vy1bc/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps primed with action words correctly solved higher number of SAT-type verbal and math problems than Ps primed with inaction words.","ANOVA","main effect","F(1, 34) = 5.68","0.02",NA,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","η²(N=36) = .143","η²(N=88) = .001","unsuccessful",49,5,5,"yes","yes",5,36,16.08,1.22333333333333,1.608,3.6,0.122333333333333,0.3,13.212,1.3212,0.46049593520977,0.02
"6","action priming boosts # of thoughts effect","Albarracin  et al. (2008) Study 7",98,"r",0.21,0.19,109,"r","0.16","0.19","Voracek & Sonnleitner (2015)","no signal - consistent",NA,NA,"very close","RPP #6","German instead of English language",NA,NA,NA,NA,"https://pdfs.semanticscholar.org/dac5/23772e965444540d31e0fb743464fbb56b0e.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183","10.1037/a0012833","https://osf.io/xbyqd/","https://osf.io/rgm6p/","https://osf.io/rgm6p/",NA,NA,NA,NA,NA,"social",2008,NA,"Action-word primed Ps completing an inactive task generated a greater number of thoughts compared to inaction-primed Ps completing an active task, with no difference in thoughts in control conditions. ","between ANOVA","interaction","F(2, 92) = 4.36","0.02",NA,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","η²(N=98) = .087","η²(N=105) = .049","unsuccessful",50,6,6,"yes","yes",6,36,16.08,0.449387755102041,1.608,3.6,0.0449387755102041,0.19,8.3676,0.83676,0.359914418713554,0.02
"7","affective incoherence effect","Centerbar, Schnall et al. (2008) Study 5",133,"r",0.21,0.16,113,"r","0.09","0.18","Humphries, Brown et al. (2015)","no signal - consistent (imprecise)",NA,NA,"very close","RPP #7",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/7f67/facff28bac9ae369ec0e635863c25fa147e3.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.4.560","https://osf.io/wcgx5/","https://osf.io/l8srm/","https://osf.io/l8srm/",NA,NA,NA,NA,NA,"social",2008,NA,"Affective coherence increased cognitive complexity in participant-generated narratives compared to affective incoherence.","RM ANOVA","interaction","F(1, 131) = 5.79","<.02",NA,"Affective incoherence: When affective concepts and embodied reactions clash.","η²(N=133) = .040","η²(N=113) = .014","unsuccessful",52,7,7,NA,"yes",7,23,1,0.176691729323308,0.1,2.3,0.0176691729323308,0.16,3.76,0.376,0.179019680272243,0.02
"8","intergroup bias regulation effect","Amodio, Devine et al. (2008) Study 2",48,"r",0.38,0.25,75,"r","0.08","0.23","Johnson, Graham et al. (2015)","no signal - inconsistent",NA,NA,"very close","RPP #8",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/f071/dae9159b3f93e540c928692dfbd6097bc1bf.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.1.60","https://osf.io/ysxmf/","https://osf.io/wkgpq/","https://osf.io/wkgpq/",NA,NA,NA,NA,NA,"social",2008,NA,"Low-prejudice Ps whose non-prejudiced responses were motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did Ps motivated by a combination of internal and external factors.","mixed ANOVA","interaction","F(1, 31) = 5.14","0.03",NA,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.","η²(N=48) = .16","η²(N=75) = .006","unsuccessful",53,8,8,NA,"yes",8,90,8.416,1.96266666666667,0.8416,9,0.196266666666667,0.25,23.552,2.3552,0.59067413266037,0.03
"9","action-oriented mindset dissonance effect","Harmon-Jones et al. (2008) Study 2",57,"r",0.23,0.26,71,"r","0.07","0.24","Gable & Mechin (2015)","no signal - consistent",NA,NA,"very close","RPP #9",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/df6f/78f60a3aef237604e02636657343f0e4e974.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.1.1","https://osf.io/zpwne/","https://osf.io/su6bm/","https://osf.io/su6bm/",NA,NA,NA,NA,NA,"social",2008,NA,"Action-oriented mindset caused attitude changes from pre- to post-decision to both chosen and rejected alternatives, whereas positive-nonaction and neutral mindsets caused attitude changes solely to rejected alternative. ","RM ANOVA","interaction","F(2, 54) = 3.19","<.05",NA,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.","η²(N=57) = .11","η²(N=71) = .01","unsuccessful",55,9,9,NA,"yes",9,66,NA,NA,NA,6.6,NA,0.26,NA,NA,NA,0.05
"10","anger communication bargaining effect","van Dijk, van Kleef et al. (2008) Study 3",103,"r",0.38,0.17,83,"r","-0.04","0.22","Voracek & Slowik (2015)","no signal - inconsistent (imprecise)",NA,NA,"very close","RPP #10",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/16af/db45ada4a1951aa464be49ef82ac6eebf0c1.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.4.600","https://osf.io/2idfu/","https://osf.io/xtsq6/","https://osf.io/xtsq6/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps made lower bargaining offers to angry (compared to happy) recipients than happy, but only when consequences of rejection were low. ","ANOVA","main effect","F(1, 99) = 16.62","<.0001",NA,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.","η²(N=103) = .143","d(N=83) = .082","unsuccessful",56,10,10,NA,"yes",10,66,1,0.645631067961165,0.1,6.6,0.0645631067961165,0.17,11.305,1.1305,0.410403182414229,1e-04
